@target G0.S0
1.067 0.718
1.089 1.109
1.111 1.808
1.133 2.741
1.156 3.67
&
@target G12.S0
@type xy
-0.273 2.692
-0.227 2.142
-0.182 1.81
-0.136 1.498
-0.091 1.067
-0.045 0.628
0 0.616
0.045 0.607
0.091 0.621
0.136 0.926
0.182 1.245
0.227 1.623
0.273 2.078
0.318 2.669
0.364 3.254
0.409 3.793
0.455 3.839
0.5 3.434
0.545 3.063
0.591 2.748
0.636 2.39
0.682 1.902
0.727 1.471
0.773 1.226
0.818 0.893
0.864 0.556
0.909 0.291
0.955 0.109
1 0
1.045 0.041
1.091 0.306
&
@target G12.S1
@type xy
-0.042 0.235
0 0
0.042 0.029
0.083 0.245
0.125 0.563
0.167 0.987
0.208 1.499
0.25 2.016
0.292 2.454
0.333 3.066
0.375 3.723
0.417 4.242
0.458 4.699
0.5 5.187
0.542 5.684
0.583 5.718
0.625 5.228
0.667 4.674
0.708 4.093
0.75 3.63
0.792 3.23
0.833 2.88
0.875 2.538
0.917 2.484
0.958 2.454
1 2.431
1.042 2.842
1.083 3.25
1.125 3.546
1.167 3.866
1.208 4.413
&
@target G13.S0
@type xy
-0.217 1.615
-0.174 1.193
-0.13 0.922
-0.087 0.698
-0.043 0.441
0 0.39
0.043 0.403
0.087 0.315
0.13 0.408
0.174 0.544
0.217 0.834
0.261 1.065
0.304 1.191
0.348 1.44
0.391 1.537
0.435 1.483
0.478 1.508
0.522 1.502
0.565 1.282
0.609 1.214
0.652 1.065
0.696 0.823
0.739 0.742
0.783 0.461
0.826 0.32
0.87 0.166
0.913 0.093
0.957 0.009
1 0
1.043 0.052
1.087 0.255
&
@target G13.S1
@type xy
0 0
0.045 0.033
0.091 0.199
0.136 0.413
0.182 0.744
0.227 1.09
0.273 1.649
0.318 2.074
0.364 2.522
0.409 2.993
0.455 3.497
0.5 3.953
0.545 4.347
0.591 4.757
0.636 5.307
0.682 5.35
0.727 5.307
0.773 5.226
0.818 4.87
0.864 4.491
0.909 4.246
0.955 4.12
1 4.147
1.045 4.22
1.091 4.614
1.136 4.948
1.182 5.166
1.227 5.633
1.273 6.211
1.318 6.841
1.364 7.354
&
@target G14.S0
@type xy
-0.333 1.708
-0.286 1.248
-0.238 0.979
-0.19 0.638
-0.143 0.421
-0.095 0.365
-0.048 0.212
0 0.169
0.048 0.275
0.095 0.282
0.143 0.611
0.19 0.853
0.238 1.007
0.286 1.431
0.333 1.794
0.381 1.89
0.429 1.941
0.476 2.014
0.524 2.009
0.571 1.766
0.619 1.508
0.667 1.367
0.714 1.138
0.762 0.698
0.81 0.429
0.857 0.21
0.905 0.022
0.952 0.005
1 0
1.048 0.056
1.095 0.316
&
@target G14.S1
@type xy
-0.091 0.635
-0.045 0.417
0 0.338
0.045 0.366
0.091 0.445
0.136 0.634
0.182 0.894
0.227 1.168
0.273 1.505
0.318 2.004
0.364 2.477
0.409 2.466
0.455 2.307
0.5 2.356
0.545 2.289
0.591 1.891
0.636 1.755
0.682 1.239
0.727 0.754
0.773 0.577
0.818 0.252
0.864 0.05
0.909 0
0.955 0.002
1 0.014
1.045 0.299
1.091 0.586
1.136 0.783
1.182 1.113
1.227 1.359
1.273 1.475
&
@target G15.S0
@type xy
-0.167 1.155
-0.125 0.648
-0.083 0.276
-0.042 0.181
-0 0.044
0.042 0.208
0.083 0.149
0.125 0.056
0.167 0.186
0.208 0.468
0.25 0.956
0.292 1.127
0.333 0.998
0.375 1.159
0.417 1.017
0.458 0.858
0.5 0.643
0.542 0.691
0.583 0.443
0.625 0.416
0.667 0.759
0.708 0.682
0.75 0.608
0.792 0.419
0.833 0.351
0.875 0.201
0.917 0.063
0.958 0
1 0.022
1.042 0.171
1.083 0.417
&
@target G15.S1
@type xy
-0.13 1.142
-0.087 0.844
-0.043 0.674
0 0.57
0.043 0.517
0.087 0.573
0.13 0.724
0.174 0.763
0.217 0.986
0.261 0.972
0.304 1.062
0.348 1.225
0.391 1.261
0.435 1.564
0.478 1.683
0.522 1.968
0.565 2.242
0.609 2.387
0.652 2.155
0.696 1.875
0.739 1.536
0.783 1.081
0.826 0.72
0.87 0.394
0.913 0.194
0.957 0.06
1 0
1.043 0.214
1.087 0.459
1.13 0.548
1.174 0.919
&
@target G15.S1
